"id","details","operator","operator_circle","price","validity","categories"
225,Data: 2 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity: 84 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"719","84 days","Truly_unlimited,Jio_apps"
226,Data: 1.5 GB/Day Voice: Unlimited Calls SMS : 100 SMS/day Validity: 84 Days Subscription to JioSaavn Pro Complimentary subscription to Jio Apps Note - To activate JioSaavn Pro subscription login to JioSaavn app with your Jio number,Jio,andra-pradesh-telangana,"739","84 days","Truly_unlimited,Jio_apps"
227,Data: 2 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity : 90 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"749","90 days","Truly_unlimited,Jio_apps"
228,Data: 2 GB/Day Voice: Unlimited Calls SMS : 100 SMS/day Validity: 84 Days Subscription to JioSaavn Pro Complimentary subscription to Jio Apps Note - To activate JioSaavn Pro subscription login to JioSaavn app with your Jio number,Jio,andra-pradesh-telangana,"789","84 days","Truly_unlimited,Jio_apps"
229,For JioPhone Customers only : Data: 2 GB/28 days (12 cycles) Voice: Unlimited Calls SMS : 50 SMS for 28 days (12 cycles) Validity : 336 Days ( 28 days*12 cycles) Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"895","336 days","Truly_unlimited,Jio_apps,Annual"
230,Data: 3 GB/day + 40 GB Voice: Unlimited Calls SMS : 100 SMS/day Validity: 84 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"999","84 days","Truly_unlimited,Jio_apps"
231,Talktime: Rs 844.46 Validity: Unlimited Talktime can also be used for International Services,Jio,andra-pradesh-telangana,"1000",N.A.,Talktime
232,Netflix (Mobile) Subscription : Data: 2 GB/Day Voice: Unlimited Calls SMS : 100 SMS/day Validity: 84 Days Subscription to Netflix (Mobile) Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"1099","84 days","Combo,Truly_unlimited,Jio_apps,Entertainment"
233,Global Pack without Wifi Calling Monetary value of Rs | 933.05 and 5 ISD SMS | Monetary Value can be used on International Roaming in around 130+ countries | Validity: 28 days | For more information on covered countries,Jio,andra-pradesh-telangana,"1101","28 days",
234,Netflix (Basic) Subscription : Data: 3 GB/Day + 40 GB Voice: Unlimited Calls SMS : 100 SMS/day Validity: 84 Days Subscription to Netflix (Basic) Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"1499","84 days","Truly_unlimited,Jio_apps,Entertainment"
235,"IR Travel Pass Outgoing calls to India & Local: 100 mins/day Incoming Call: FREE Mobile Data: 250 MB/day high speed data thereafter unlimited at 64 kbps SMS: 100/day Validity: 10 days Applicable in top 32 countries including US, UK, UAE, Saudi, Canada, Thailand, Singapore, Germany etc | Please visit https://www.Jio.com/selfcare/plans/mobility/Jio-international-roaming-plans/?country=check for more details on country and partner network",Jio,andra-pradesh-telangana,"2499","10 days",International_roaming
236,Data: 1.5 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity: 336 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"2545","336 days","Truly_unlimited,Jio_apps,Annual"
